Файл данных опроса от 11:20:21 15.02.2021
Прибор № 1 (адрес - 1)
Addr: 1 ; Command: 1 ; Pressure: -0,0042211 MPa ; Time: 11:22:34.926 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042228 MPa ; Time: 11:22:35.924 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042081 MPa ; Time: 11:22:36.937 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042081 MPa ; Time: 11:22:37.955 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041606 MPa ; Time: 11:22:38.975 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041932 MPa ; Time: 11:22:39.982 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041793 MPa ; Time: 11:22:40.972 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041798 MPa ; Time: 11:22:41.974 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041795 MPa ; Time: 11:22:42.978 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041977 MPa ; Time: 11:22:43.968 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042449 MPa ; Time: 11:22:44.966 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042596 MPa ; Time: 11:22:45.993 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042455 MPa ; Time: 11:22:46.966 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042466 MPa ; Time: 11:22:47.973 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042789 MPa ; Time: 11:22:48.976 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042330 MPa ; Time: 11:22:49.976 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042181 MPa ; Time: 11:22:50.981 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042211 MPa ; Time: 11:22:51.982 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042667 MPa ; Time: 11:22:52.980 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0043481 MPa ; Time: 11:22:53.995 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042895 MPa ; Time: 11:22:54.999 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042433 MPa ; Time: 11:22:55.982 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042463 MPa ; Time: 11:22:56.994 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042811 MPa ; Time: 11:22:57.985 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042698 MPa ; Time: 11:22:59.003 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042398 MPa ; Time: 11:23:00.017 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041908 MPa ; Time: 11:23:01.023 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042218 MPa ; Time: 11:23:02.029 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042068 MPa ; Time: 11:23:03.018 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042708 MPa ; Time: 11:23:04.019 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042249 MPa ; Time: 11:23:05.020 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041957 MPa ; Time: 11:23:06.023 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041812 MPa ; Time: 11:23:07.032 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042004 MPa ; Time: 11:23:08.032 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042174 MPa ; Time: 11:23:09.045 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041894 MPa ; Time: 11:23:10.065 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041449 MPa ; Time: 11:23:11.068 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042042 MPa ; Time: 11:23:12.082 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042038 MPa ; Time: 11:23:13.097 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041899 MPa ; Time: 11:23:14.099 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042369 MPa ; Time: 11:23:15.114 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042065 MPa ; Time: 11:23:16.112 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042374 MPa ; Time: 11:23:17.116 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042388 MPa ; Time: 11:23:18.120 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041646 MPa ; Time: 11:23:19.107 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041544 MPa ; Time: 11:23:20.124 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041369 MPa ; Time: 11:23:21.158 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041358 MPa ; Time: 11:23:22.160 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041100 MPa ; Time: 11:23:23.180 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0040668 MPa ; Time: 11:23:24.199 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0040675 MPa ; Time: 11:23:25.201 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041159 MPa ; Time: 11:23:26.201 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041959 MPa ; Time: 11:23:27.230 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042437 MPa ; Time: 11:23:28.247 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042614 MPa ; Time: 11:23:29.230 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042287 MPa ; Time: 11:23:30.233 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042314 MPa ; Time: 11:23:31.217 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042502 MPa ; Time: 11:23:32.225 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042044 MPa ; Time: 11:23:33.229 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042038 MPa ; Time: 11:23:34.230 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041748 MPa ; Time: 11:23:35.248 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041587 MPa ; Time: 11:23:36.236 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041461 MPa ; Time: 11:23:37.239 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041806 MPa ; Time: 11:23:38.246 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041808 MPa ; Time: 11:23:39.234 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042443 MPa ; Time: 11:23:40.237 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042926 MPa ; Time: 11:23:41.243 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0043077 MPa ; Time: 11:23:42.262 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042623 MPa ; Time: 11:23:43.238 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0043411 MPa ; Time: 11:23:44.256 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0043610 MPa ; Time: 11:23:45.254 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0043465 MPa ; Time: 11:23:46.277 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0043190 MPa ; Time: 11:23:47.292 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042937 MPa ; Time: 11:23:48.266 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042364 MPa ; Time: 11:23:49.272 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042503 MPa ; Time: 11:23:50.277 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042534 MPa ; Time: 11:23:51.282 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042395 MPa ; Time: 11:23:52.286 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042430 MPa ; Time: 11:23:53.306 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042727 MPa ; Time: 11:23:54.310 ; Date: 15.02.2021
