Файл данных опроса от 11:20:21 15.02.2021
Прибор № 4 (адрес - 4)
Addr: 4 ; Command: 1 ; Pressure: -100,7761000 kPa ; Time: 11:22:52.604 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7779000 kPa ; Time: 11:22:53.605 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7790000 kPa ; Time: 11:22:54.622 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7807000 kPa ; Time: 11:22:55.625 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7807000 kPa ; Time: 11:22:56.624 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7807000 kPa ; Time: 11:22:57.610 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7807000 kPa ; Time: 11:22:58.612 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7801000 kPa ; Time: 11:22:59.626 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7772000 kPa ; Time: 11:23:00.646 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7744000 kPa ; Time: 11:23:01.656 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7744000 kPa ; Time: 11:23:02.656 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7767000 kPa ; Time: 11:23:03.644 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7784000 kPa ; Time: 11:23:04.643 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7784000 kPa ; Time: 11:23:05.645 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7778000 kPa ; Time: 11:23:06.650 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7766000 kPa ; Time: 11:23:07.673 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7789000 kPa ; Time: 11:23:08.658 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7795000 kPa ; Time: 11:23:09.673 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7801000 kPa ; Time: 11:23:10.691 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7766000 kPa ; Time: 11:23:11.693 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7760000 kPa ; Time: 11:23:12.707 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7755000 kPa ; Time: 11:23:13.724 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7789000 kPa ; Time: 11:23:14.723 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7789000 kPa ; Time: 11:23:15.738 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7795000 kPa ; Time: 11:23:16.742 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7789000 kPa ; Time: 11:23:17.744 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7789000 kPa ; Time: 11:23:18.733 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7783000 kPa ; Time: 11:23:19.747 ; Date: 15.02.2021
