Файл данных опроса от 11:20:21 15.02.2021
Прибор № 2 (адрес - 2)
Addr: 2 ; Command: 1 ; Pressure: 1,7399750 kPa ; Time: 11:22:33.205 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7375790 kPa ; Time: 11:22:34.223 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7364040 kPa ; Time: 11:22:35.236 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7364040 kPa ; Time: 11:22:36.236 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7358320 kPa ; Time: 11:22:37.252 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7376100 kPa ; Time: 11:22:38.271 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7376170 kPa ; Time: 11:22:39.292 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7381520 kPa ; Time: 11:22:40.282 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7369610 kPa ; Time: 11:22:41.285 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7376170 kPa ; Time: 11:22:42.290 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7376100 kPa ; Time: 11:22:43.278 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7381520 kPa ; Time: 11:22:44.278 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7352750 kPa ; Time: 11:22:45.295 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7335280 kPa ; Time: 11:22:46.307 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7322390 kPa ; Time: 11:22:47.281 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7327960 kPa ; Time: 11:22:48.287 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7322310 kPa ; Time: 11:22:49.289 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7322310 kPa ; Time: 11:22:50.305 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7322010 kPa ; Time: 11:22:51.291 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7310710 kPa ; Time: 11:22:52.294 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7304460 kPa ; Time: 11:22:53.294 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7315980 kPa ; Time: 11:22:54.307 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7298660 kPa ; Time: 11:22:55.313 ; Date: 15.02.2021
